,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,RelationshipLength_code,Frequency in separate beds_code,sleep together?
992,Married,16-20 years,A few times per month,Healthcare Support Occupations,Male,30-44,"$150,000+",Graduate degree,New England,0,2,5,5,4.0,3.0,0.0
993,Married,More than 20 years,Once a month or less,Management Occupations,Male,> 60,Did not disclose,Bachelor degree,Middle Atlantic,0,4,0,4,5.0,2.0,0.0
994,"Single, but cohabiting with a significant other",11-15 years,Never,Architecture and Engineering Occupations,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,2,2,3,3.0,0.0,1.0
995,Married,11-15 years,Never,caregiver for disabled husband and child,Female,30-44,"$0 - $24,999",High school degree,East South Central,1,2,1,2,3.0,0.0,1.0
996,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central,1,3,4,5,5.0,0.0,1.0
997,Married,16-20 years,Once a month or less,Computer and Mathematical Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,4.0,2.0,0.0
998,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,Did not disclose,Graduate degree,New England,1,3,0,5,5.0,0.0,1.0
999,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,1,4,0,4,5.0,3.0,0.0
1000,Married,6-10 years,Never,Healthcare Practitioners and Technical Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,0,2,3,4,2.0,0.0,1.0
1001,Married,6-10 years,Never,Office and Administrative Support Occupations,Female,18-29,"$25,000 - $49,999",Graduate degree,Pacific,1,1,2,5,2.0,0.0,1.0
1002,Married,More than 20 years,Once a month or less,Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,5.0,2.0,0.0
1003,Married,More than 20 years,Never,JjANITORIAL,Male,45-60,"$0 - $24,999",Some college or Associate degree,East North Central,0,3,1,3,5.0,0.0,1.0
1004,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,1,3,4,3,5.0,5.0,0.0
1005,Married,11-15 years,Every night,Child care,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,2,3,3,3.0,5.0,0.0
1006,Married,6-10 years,A few times per week,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,1,2,3,4,2.0,4.0,0.0
1007,Married,More than 20 years,Never,Homemaker,Female,45-60,Did not disclose,Bachelor degree,East North Central,1,3,0,4,5.0,0.0,1.0
1008,Married,More than 20 years,A few times per month,Office and Administrative Support Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,0,4,4,4,5.0,3.0,0.0
1009,Married,16-20 years,Once a year or less,Protective Service Occupations,Female,45-60,"$150,000+",Some college or Associate degree,Middle Atlantic,1,3,5,3,4.0,1.0,0.0
1010,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific,1,3,4,3,5.0,0.0,1.0
1011,Married,6-10 years,A few times per month,Management Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,East South Central,0,2,3,4,2.0,3.0,0.0
1012,Married,11-15 years,Once a month or less,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,West North Central,0,3,4,4,3.0,2.0,0.0
1013,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,> 60,"$150,000+",Graduate degree,East North Central,1,4,5,5,5.0,1.0,0.0
1014,Married,11-15 years,Once a year or less,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,3.0,1.0,0.0
1015,Married,16-20 years,Once a month or less,Office and Administrative Support Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,West South Central,1,2,4,4,4.0,2.0,0.0
1016,Married,16-20 years,Never,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,4.0,0.0,1.0
1017,Married,6-10 years,Every night,Computer and Mathematical Occupations,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,South Atlantic,1,2,4,3,2.0,5.0,0.0
1018,Married,More than 20 years,Every night,Product Design Consultant,Male,> 60,"$50,000 - $99,999",Bachelor degree,New England,0,4,3,4,5.0,5.0,0.0
1019,Married,16-20 years,Once a month or less,consulting,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,4.0,2.0,0.0
1020,Married,11-15 years,A few times per month,Homemaker,Female,30-44,"$50,000 - $99,999",Bachelor degree,West South Central,1,2,3,4,3.0,3.0,0.0
1021,"Single, but cohabiting with a significant other",More than 20 years,Once a year or less,retired,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific,1,4,3,5,5.0,1.0,0.0
1022,Married,6-10 years,Never,Healthcare Support Occupations,Female,30-44,"$150,000+",Graduate degree,Middle Atlantic,1,2,5,5,2.0,0.0,1.0
1023,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Some college or Associate degree,South Atlantic,0,4,0,3,5.0,0.0,1.0
1024,Married,More than 20 years,Every night,Computer and Mathematical Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,4,4,3,5.0,5.0,0.0
1025,Married,More than 20 years,Never,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,3,3,3,5.0,0.0,1.0
1026,In a domestic partnership or civil union,6-10 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$150,000+",Graduate degree,West South Central,1,3,5,5,2.0,0.0,1.0
1027,"Single, but cohabiting with a significant other",11-15 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,3,3,5,3.0,0.0,1.0
1028,Married,11-15 years,Never,Architecture and Engineering Occupations,Male,30-44,"$25,000 - $49,999",Bachelor degree,New England,0,2,2,4,3.0,0.0,1.0
1029,Married,More than 20 years,A few times per week,Healthcare Support Occupations,Male,45-60,Did not disclose,Graduate degree,East North Central,0,3,0,5,5.0,4.0,0.0
1030,Married,16-20 years,Once a month or less,consulting,Female,45-60,"$50,000 - $99,999",Graduate degree,West North Central,1,3,3,5,4.0,2.0,0.0
1031,Married,11-15 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$100,000 - $149,999",Graduate degree,Middle Atlantic,1,2,4,5,3.0,0.0,1.0
1032,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
1033,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,0,2,4,5,4.0,0.0,1.0
1034,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,1,4,4,3,5.0,5.0,0.0
1035,Married,6-10 years,Never,Management Occupations,Female,30-44,Did not disclose,Some college or Associate degree,East North Central,1,2,0,3,2.0,0.0,1.0
1036,Married,11-15 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific,1,2,4,5,3.0,0.0,1.0
1037,Married,1-5 years,Never,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Bachelor degree,Pacific,0,2,0,4,1.0,0.0,1.0
1038,Married,16-20 years,A few times per week,Stay at home mom,Female,45-60,"$150,000+",Bachelor degree,Pacific,1,3,5,4,4.0,4.0,0.0
1039,Married,More than 20 years,Never,retired,Male,> 60,"$25,000 - $49,999",High school degree,East North Central,0,4,2,2,5.0,0.0,1.0
1040,Married,1-5 years,Never,Healthcare Practitioners and Technical Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5,1.0,0.0,1.0
1041,Married,6-10 years,A few times per week,stay at home mom,Female,30-44,"$0 - $24,999",Some college or Associate degree,Mountain,1,2,1,3,2.0,4.0,0.0
1042,Married,1-5 years,A few times per month,"Farming, Fishing, and Forestry Occupations",Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5,1.0,3.0,0.0
1043,Married,6-10 years,Never,"Life, Physical, and Social Science Occupations",Female,18-29,"$100,000 - $149,999",Graduate degree,New England,1,1,4,5,2.0,0.0,1.0
1044,Married,6-10 years,A few times per week,Healthcare Support Occupations,Female,> 60,"$100,000 - $149,999",High school degree,South Atlantic,1,4,4,2,2.0,4.0,0.0
1045,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Construction and Extraction Occupations,Female,18-29,Did not disclose,Bachelor degree,Pacific,1,1,0,4,1.0,2.0,0.0
1046,Married,More than 20 years,Never,retired,Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5,5.0,0.0,1.0
1047,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central,1,3,2,3,5.0,0.0,1.0
1048,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,1,2,3,4,1.0,0.0,1.0
1049,Married,More than 20 years,Every night,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$50,000 - $99,999",High school degree,Pacific,0,3,3,2,5.0,5.0,0.0
1050,Married,16-20 years,A few times per week,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,0,3,3,5,4.0,4.0,0.0
1051,Married,11-15 years,Once a month or less,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central,0,2,4,5,3.0,2.0,0.0
1052,Married,6-10 years,Never,Mother,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,2,3,3,2.0,0.0,1.0
1053,Married,11-15 years,Never,Personal Care and Service Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,2,3,3,3.0,0.0,1.0
1054,Married,11-15 years,Once a year or less,Management Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,0,2,4,4,3.0,1.0,0.0
1055,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,3,4,5,5.0,0.0,1.0
1056,Married,More than 20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
1057,Married,More than 20 years,Once a month or less,Retired,Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,4,3,4,5.0,2.0,0.0
1058,Married,6-10 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific,1,2,3,3,2.0,1.0,0.0
1059,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$25,000 - $49,999",Graduate degree,East North Central,1,4,2,5,5.0,0.0,1.0
1060,"Single, but cohabiting with a significant other",1-5 years,Every night,Medical Research,Male,30-44,"$50,000 - $99,999",Graduate degree,West North Central,0,2,3,5,1.0,5.0,0.0
1061,Married,More than 20 years,Never,Retired,Male,> 60,"$25,000 - $49,999",Bachelor degree,Pacific,0,4,2,4,5.0,0.0,1.0
1062,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific,0,4,3,3,5.0,0.0,1.0
1063,Married,More than 20 years,Never,homemaker,Female,45-60,Did not disclose,Bachelor degree,East North Central,1,3,0,4,5.0,0.0,1.0
1064,"Single, but cohabiting with a significant other",1-5 years,Never,Metropolitan Planning,Male,18-29,Did not disclose,Bachelor degree,East North Central,0,1,0,4,1.0,0.0,1.0
1065,Married,16-20 years,Never,Business and Financial Operations Occupations,Female,> 60,Did not disclose,Graduate degree,East North Central,1,4,0,5,4.0,0.0,1.0
1066,Married,More than 20 years,Never,Retired,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,Pacific,1,4,3,3,5.0,0.0,1.0
1067,Married,6-10 years,Never,stay at home mother,Female,45-60,"$150,000+",Some college or Associate degree,New England,1,3,5,3,2.0,0.0,1.0
1068,"Single, but cohabiting with a significant other",1-5 years,Never,Protective Service Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,East South Central,1,2,3,4,1.0,0.0,1.0
1069,Married,11-15 years,A few times per week,Production Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3,3.0,4.0,0.0
1070,Married,More than 20 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Male,45-60,"$150,000+",Graduate degree,Middle Atlantic,0,3,5,5,5.0,1.0,0.0
1071,Married,More than 20 years,Never,Utilities,Male,45-60,"$150,000+",Some college or Associate degree,West South Central,0,3,5,3,5.0,0.0,1.0
1072,"Single, but cohabiting with a significant other",6-10 years,Never,Sales and Related Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,East North Central,1,1,1,3,2.0,0.0,1.0
1073,Married,More than 20 years,Never,Homemaker,Female,> 60,"$150,000+",Some college or Associate degree,Pacific,1,4,5,3,5.0,0.0,1.0
1074,Married,6-10 years,Once a month or less,Legal Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,New England,0,3,4,5,2.0,2.0,0.0
1075,Married,16-20 years,Never,not employed,Female,45-60,"$25,000 - $49,999",High school degree,Mountain,1,3,2,2,4.0,0.0,1.0
1076,Married,11-15 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,1,2,4,4,3.0,0.0,1.0
1077,Married,More than 20 years,A few times per week,Community and Social Service Occupations,Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central,1,3,4,5,5.0,4.0,0.0
1078,Married,More than 20 years,Every night,Healthcare Support Occupations,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific,1,4,4,3,5.0,5.0,0.0
1079,In a domestic partnership or civil union,6-10 years,Never,Food Preparation and Serving Related Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,1,3,4,3,2.0,0.0,1.0
1080,Married,6-10 years,Never,Healthcare Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central,1,2,3,3,2.0,0.0,1.0
1081,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,5.0,0.0,1.0
1082,Married,16-20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",High school degree,East North Central,1,3,4,2,4.0,0.0,1.0
1083,Married,1-5 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1.0,0.0,1.0
1084,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central,1,3,2,3,5.0,0.0,1.0
1085,Married,6-10 years,Never,Healthcare Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,2,3,3,2.0,0.0,1.0
1086,"Single, but cohabiting with a significant other",Less than 1 year,Never,Office and Administrative Support Occupations,Female,30-44,"$0 - $24,999",Some college or Associate degree,East North Central,1,2,1,3,0.0,0.0,1.0
1087,Married,11-15 years,A few times per month,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Mountain,1,2,0,3,3.0,3.0,0.0
1088,Married,1-5 years,Never,Management Occupations,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,1,1,4,3,1.0,0.0,1.0
1089,Married,Less than 1 year,Once a year or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,30-44,Did not disclose,Bachelor degree,South Atlantic,1,2,0,4,0.0,1.0,0.0
1090,Married,More than 20 years,Every night,retired,Male,> 60,Did not disclose,High school degree,East North Central,0,4,0,2,5.0,5.0,0.0
1091,Married,1-5 years,Never,Management Occupations,Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic,0,2,5,4,1.0,0.0,1.0
1092,Separated,16-20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$50,000 - $99,999",Some college or Associate degree,New England,0,4,3,3,4.0,0.0,1.0
